start_time,end_time,title,duration,reconcile_key
16/12/2018 00:51:54;16,16/12/2018 01:38:24;0,SUP - (DES)ENCONTRO PERFEITO - S,00:46:29;15,20181215234
16/12/2018 01:39:19;15,16/12/2018 01:40:11;1,RETROSPECTIVA(DIA 28),00:00:51;28,201812151302
16/12/2018 01:40:48;15,16/12/2018 01:41:48;1,SL JNEF MS 1 60,00:01:00;04,201812151124
16/12/2018 00:51:54;16,16/12/2018 01:38:24;0,SUP - (DES)ENCONTRO PERFEITO - S,00:46:29;15,20181215234
16/12/2018 01:39:19;15,16/12/2018 01:40:11;1,RETROSPECTIVA(DIA 28),00:00:51;28,201812151302
16/12/2018 01:40:48;15,16/12/2018 01:41:48;1,SL JNEF MS 1 60,00:01:00;04,201812151124
16/12/2018 00:51:54;16,16/12/2018 01:38:24;0,SUP - (DES)ENCONTRO PERFEITO - S,00:46:29;15,20181215234
16/12/2018 01:39:19;15,16/12/2018 01:40:11;1,RETROSPECTIVA(DIA 28),00:00:51;28,201812151302
16/12/2018 01:40:48;15,16/12/2018 01:41:48;1,SL JNEF MS 1 60,00:01:00;04,201812151124
16/12/2018 00:51:54;16,16/12/2018 01:38:24;0,SUP - (DES)ENCONTRO PERFEITO - S,00:46:29;15,20181215234
16/12/2018 01:39:19;15,16/12/2018 01:40:11;1,RETROSPECTIVA(DIA 28),00:00:51;28,201812151302
16/12/2018 01:40:48;15,16/12/2018 01:41:48;1,SL JNEF MS 1 60,00:01:00;04,201812151124
16/12/2018 01:42:43;08,16/12/2018 02:19:05;0,SUP - (DES)ENCONTRO PERFEITO - S,00:36:21;26,20181215238
16/12/2018 02:19:05;06,16/12/2018 02:19:45;0,VERT(ESP/FAUSTO)A 16/12,00:00:39;25,201812151130
16/12/2018 02:20:02;05,16/12/2018 02:49:51;1,CO1 - SUPERANDO O PASSADO - CORU,00:29:49;09,20181215242
16/12/2018 02:50:26;28,16/12/2018 02:52:27;0,SL CB SERT 18 5 120,00:02:00;05,201812151138
16/12/2018 02:52:27;03,16/12/2018 02:53:27;0,SUPERGIRL(N)17/12,00:01:00;06,201812151140
16/12/2018 02:53:32;12,16/12/2018 03:05:17;0,CO1 - SUPERANDO O PASSADO - CORU,00:11:44;19,20181215246
16/12/2018 03:06:07;24,16/12/2018 03:07:08;0,GIIN MENS FIM DE ANO 7,00:01:00;06,201812151314
16/12/2018 03:07:13;03,16/12/2018 03:17:34;0,CO1 - SUPERANDO O PASSADO - CORU,00:10:21;02,20181215250
16/12/2018 03:18:37;02,16/12/2018 03:29:30;2,CO1 - SUPERANDO O PASSADO - CORU,00:10:53;22,20181215254
16/12/2018 03:29:55;18,16/12/2018 03:42:02;2,CO1 - SUPERANDO O PASSADO - CORU,00:12:07;04,20181215258
